_id,count,dayWeek,days,hours
"{'day': 18, 'hour': 18}",109.0,4.0,18,18
"{'day': 18, 'hour': 19}",122.0,4.0,18,19
"{'day': 18, 'hour': 20}",105.0,4.0,18,20
"{'day': 18, 'hour': 21}",110.0,4.0,18,21
"{'day': 18, 'hour': 22}",88.0,4.0,18,22
"{'day': 18, 'hour': 23}",70.0,4.0,18,23
"{'day': 19, 'hour': 0}",59.0,5.0,19,0
"{'day': 19, 'hour': 1}",29.0,5.0,19,1
"{'day': 19, 'hour': 2}",9.0,5.0,19,2
"{'day': 19, 'hour': 3}",6.0,5.0,19,3
"{'day': 19, 'hour': 4}",4.0,5.0,19,4
"{'day': 19, 'hour': 5}",16.0,5.0,19,5
"{'day': 19, 'hour': 6}",24.0,5.0,19,6
"{'day': 19, 'hour': 7}",48.0,5.0,19,7
"{'day': 19, 'hour': 8}",50.0,5.0,19,8
"{'day': 19, 'hour': 9}",59.0,5.0,19,9
"{'day': 19, 'hour': 10}",34.0,5.0,19,10
"{'day': 19, 'hour': 11}",45.0,5.0,19,11
"{'day': 19, 'hour': 12}",48.0,5.0,19,12
"{'day': 19, 'hour': 13}",54.0,5.0,19,13
"{'day': 19, 'hour': 14}",45.0,5.0,19,14
"{'day': 19, 'hour': 15}",66.0,5.0,19,15
"{'day': 19, 'hour': 16}",54.0,5.0,19,16
"{'day': 19, 'hour': 17}",83.0,5.0,19,17
"{'day': 19, 'hour': 18}",102.0,5.0,19,18
"{'day': 19, 'hour': 19}",128.0,5.0,19,19
"{'day': 19, 'hour': 20}",120.0,5.0,19,20
"{'day': 19, 'hour': 21}",105.0,5.0,19,21
"{'day': 19, 'hour': 22}",94.0,5.0,19,22
"{'day': 19, 'hour': 23}",79.0,5.0,19,23
"{'day': 20, 'hour': 0}",59.0,6.0,20,0
"{'day': 20, 'hour': 1}",32.0,6.0,20,1
"{'day': 20, 'hour': 2}",20.0,6.0,20,2
"{'day': 20, 'hour': 3}",2.0,6.0,20,3
"{'day': 20, 'hour': 4}",9.0,6.0,20,4
"{'day': 20, 'hour': 5}",11.0,6.0,20,5
"{'day': 20, 'hour': 6}",27.0,6.0,20,6
"{'day': 20, 'hour': 7}",37.0,6.0,20,7
"{'day': 20, 'hour': 8}",54.0,6.0,20,8
"{'day': 20, 'hour': 9}",68.0,6.0,20,9
"{'day': 20, 'hour': 10}",60.0,6.0,20,10
"{'day': 20, 'hour': 11}",57.0,6.0,20,11
"{'day': 20, 'hour': 12}",48.0,6.0,20,12
"{'day': 20, 'hour': 13}",70.0,6.0,20,13
"{'day': 20, 'hour': 14}",62.0,6.0,20,14
"{'day': 20, 'hour': 15}",70.0,6.0,20,15
"{'day': 20, 'hour': 16}",83.0,6.0,20,16
"{'day': 20, 'hour': 17}",88.0,6.0,20,17
"{'day': 20, 'hour': 18}",121.0,6.0,20,18
"{'day': 20, 'hour': 19}",117.0,6.0,20,19
"{'day': 20, 'hour': 20}",126.0,6.0,20,20
"{'day': 20, 'hour': 21}",105.0,6.0,20,21
"{'day': 20, 'hour': 22}",101.0,6.0,20,22
"{'day': 20, 'hour': 23}",84.0,6.0,20,23
"{'day': 21, 'hour': 0}",71.0,7.0,21,0
"{'day': 21, 'hour': 1}",58.0,7.0,21,1
"{'day': 21, 'hour': 2}",27.0,7.0,21,2
"{'day': 21, 'hour': 3}",10.0,7.0,21,3
"{'day': 21, 'hour': 4}",8.0,7.0,21,4
"{'day': 21, 'hour': 5}",9.0,7.0,21,5
"{'day': 21, 'hour': 6}",16.0,7.0,21,6
"{'day': 21, 'hour': 7}",39.0,7.0,21,7
